transcript_id,chromosome,strand,transcript_length_nt,num_exons,num_junctions,start_codon_transcript,stop_codon_transcript,stop_codon_exon,last_junction_pos,distance_stop_to_junction,protein_length_aa,nmd_status
ENSMUST00000118263,1,+,2162,7,6,125,1058,7.0,605,-453,311,NMD-insensitive
ENSMUST00000122156,1,+,2535,8,7,117,1074,8.0,620,-454,319,NMD-insensitive
ENSMUST00000119714,1,+,1268,7,6,105,1038,7.0,585,-453,311,NMD-insensitive
ENSMUST00000186294,1,+,3429,29,28,0,3426,,3189,-237,1142,NMD-insensitive
ENSMUST00000088615,1,-,6978,38,37,176,5714,38.0,5515,-199,1846,NMD-insensitive
ENSMUST00000131556,1,-,3424,20,19,176,3338,20.0,3127,-211,1054,NMD-insensitive
ENSMUST00000153695,1,-,1814,10,9,218,446,3.0,1213,767,76,NMD-sensitive
ENSMUST00000035577,1,-,1932,11,10,218,1532,11.0,1337,-195,438,NMD-insensitive
ENSMUST00000027056,1,+,11053,40,39,328,5122,40.0,5040,-82,1598,NMD-insensitive
ENSMUST00000048613,1,+,2779,14,13,464,1841,14.0,1787,-54,459,NMD-insensitive
ENSMUST00000171690,1,+,6158,8,7,464,1328,8.0,1304,-24,288,NMD-insensitive
ENSMUST00000141512,1,+,1816,11,10,457,1138,6.0,1609,471,227,NMD-sensitive
ENSMUST00000135014,1,+,6451,7,6,300,1161,7.0,974,-187,287,NMD-insensitive
ENSMUST00000137824,1,+,1880,14,13,60,1446,14.0,1392,-54,462,NMD-insensitive
ENSMUST00000179089,1,+,1832,13,12,60,1398,13.0,1345,-53,446,NMD-insensitive
ENSMUST00000177608,1,+,5598,22,21,635,3245,22.0,3196,-49,870,NMD-insensitive
ENSMUST00000180062,1,+,4636,21,20,494,3104,21.0,3056,-48,870,NMD-insensitive
ENSMUST00000186051,1,+,4563,22,21,380,2966,22.0,2941,-25,862,NMD-insensitive
ENSMUST00000088585,1,+,4630,22,21,482,3092,22.0,3043,-49,870,NMD-insensitive
ENSMUST00000188454,1,-,8463,10,9,591,3141,10.0,2674,-467,850,NMD-insensitive
ENSMUST00000115403,1,-,8509,9,8,640,3190,9.0,2724,-466,850,NMD-insensitive
ENSMUST00000115402,1,-,3690,8,7,682,2746,8.0,2702,-44,688,NMD-insensitive
ENSMUST00000136197,1,-,5123,6,5,640,2614,6.0,2260,-354,658,NMD-insensitive
ENSMUST00000146763,1,-,3437,4,3,419,1622,3.0,1664,42,401,NMD-insensitive
ENSMUST00000147606,1,-,3615,5,4,419,1853,5.0,1841,-12,478,NMD-insensitive
ENSMUST00000047577,1,-,2564,8,7,75,1758,8.0,1526,-232,561,NMD-insensitive
ENSMUST00000081713,1,-,8171,22,21,333,4512,22.0,4482,-30,1393,NMD-insensitive
ENSMUST00000068304,1,-,8006,22,21,222,4401,22.0,4371,-30,1393,NMD-insensitive
ENSMUST00000006037,1,-,4897,23,22,222,4608,23.0,4577,-31,1462,NMD-insensitive
ENSMUST00000027068,1,-,2938,11,10,188,1310,11.0,1229,-81,374,NMD-insensitive
ENSMUST00000188377,1,-,498,4,3,153,345,3.0,454,109,64,NMD-sensitive
ENSMUST00000027071,1,-,4494,7,6,96,960,7.0,913,-47,288,NMD-insensitive
ENSMUST00000088542,1,+,1926,4,3,464,1583,4.0,954,-629,373,NMD-insensitive
ENSMUST00000027066,1,-,4347,18,17,609,2382,18.0,2287,-95,591,NMD-insensitive
ENSMUST00000168081,1,-,4366,18,17,644,2405,18.0,2310,-95,587,NMD-insensitive
ENSMUST00000080664,1,-,3426,17,16,499,2173,17.0,2079,-94,558,NMD-insensitive
ENSMUST00000190337,1,-,2199,17,16,150,1923,17.0,1829,-94,591,NMD-insensitive
ENSMUST00000027062,1,-,1741,2,1,242,845,2.0,760,-85,201,NMD-insensitive
ENSMUST00000041447,1,-,4263,27,26,27,3402,27.0,3156,-246,1125,NMD-insensitive
ENSMUST00000235071,1,-,3288,26,25,0,3285,,3040,-245,1095,NMD-insensitive
ENSMUST00000175681,1,+,3963,3,2,320,3041,3.0,897,-2144,907,NMD-insensitive
ENSMUST00000170146,1,+,14845,2,1,0,2721,2.0,578,-2143,907,NMD-insensitive
ENSMUST00000188371,1,+,2268,10,9,32,1295,10.0,1127,-168,421,NMD-insensitive
ENSMUST00000027057,1,+,1581,9,8,14,1190,9.0,1023,-167,392,NMD-insensitive
ENSMUST00000040695,1,-,2748,5,4,70,862,5.0,743,-119,264,NMD-insensitive
ENSMUST00000115367,1,-,868,4,3,163,718,4.0,569,-149,185,NMD-insensitive
ENSMUST00000145070,1,-,1844,6,5,1232,1694,6.0,1543,-151,154,NMD-insensitive
ENSMUST00000151004,1,-,1001,5,4,389,851,5.0,701,-150,154,NMD-insensitive
ENSMUST00000058437,1,-,1163,7,6,284,1094,7.0,1092,-2,270,NMD-insensitive
ENSMUST00000027053,1,+,3587,6,5,244,1267,6.0,1141,-126,341,NMD-insensitive
ENSMUST00000162751,1,-,3030,14,13,218,1928,14.0,1824,-104,570,NMD-insensitive
ENSMUST00000054668,1,-,2907,15,14,222,1932,15.0,1827,-105,570,NMD-insensitive
ENSMUST00000162627,1,-,2773,14,13,187,1801,14.0,1697,-104,538,NMD-insensitive
ENSMUST00000027052,1,-,2763,13,12,183,1797,13.0,1694,-103,538,NMD-insensitive
ENSMUST00000162435,1,-,2735,13,12,161,1775,13.0,1672,-103,538,NMD-insensitive
ENSMUST00000159558,1,-,3901,12,11,170,1607,12.0,1285,-322,479,NMD-insensitive
ENSMUST00000128957,1,-,3907,12,11,159,1692,12.0,1370,-322,511,NMD-insensitive
ENSMUST00000131257,1,-,3616,10,9,67,1486,10.0,1166,-320,473,NMD-insensitive
ENSMUST00000162007,1,-,2964,11,10,117,1554,11.0,1233,-321,479,NMD-insensitive
ENSMUST00000127420,1,-,3081,12,11,130,466,5.0,1357,891,112,NMD-sensitive
ENSMUST00000149320,1,-,2214,13,12,574,2107,13.0,1784,-323,511,NMD-insensitive
ENSMUST00000115359,1,-,1151,5,4,172,547,5.0,442,-105,125,NMD-insensitive
ENSMUST00000145092,1,-,564,4,3,70,349,4.0,245,-104,93,NMD-insensitive
ENSMUST00000144138,1,-,585,5,4,104,479,5.0,374,-105,125,NMD-insensitive
ENSMUST00000182554,1,-,1508,7,6,61,523,7.0,502,-21,154,NMD-insensitive
ENSMUST00000117146,1,-,2181,6,5,238,691,6.0,675,-16,151,NMD-insensitive
ENSMUST00000236045,1,-,543,6,5,0,540,,524,-16,180,NMD-insensitive
ENSMUST00000188641,1,-,2014,4,3,112,448,4.0,257,-191,112,NMD-insensitive
ENSMUST00000115352,1,-,960,4,3,100,436,4.0,245,-191,112,NMD-insensitive
ENSMUST00000186948,1,-,641,4,3,156,492,4.0,301,-191,112,NMD-insensitive
ENSMUST00000187910,1,-,620,5,4,96,498,5.0,306,-192,134,NMD-insensitive
ENSMUST00000185771,1,-,742,5,4,306,642,5.0,450,-192,112,NMD-insensitive
ENSMUST00000177501,1,+,1636,3,2,101,863,3.0,406,-457,254,NMD-insensitive
ENSMUST00000065373,1,+,1710,3,2,98,857,3.0,400,-457,253,NMD-insensitive
ENSMUST00000026881,1,+,632,5,4,75,555,5.0,455,-100,160,NMD-insensitive
ENSMUST00000190366,1,+,429,5,4,0,426,,326,-100,142,NMD-insensitive
ENSMUST00000038382,1,-,4809,5,4,285,2265,5.0,2183,-82,660,NMD-insensitive
ENSMUST00000026879,1,+,3949,6,5,103,157,1.0,799,642,18,NMD-sensitive
ENSMUST00000189736,1,+,1058,6,5,4,184,3.0,548,364,60,NMD-sensitive
ENSMUST00000088476,1,+,6923,6,5,144,951,6.0,813,-138,269,NMD-insensitive
ENSMUST00000159958,1,+,3117,15,14,153,1653,15.0,1590,-63,500,NMD-insensitive
ENSMUST00000095075,1,+,4472,15,14,739,2239,15.0,2176,-63,500,NMD-insensitive
ENSMUST00000026876,1,-,1252,8,7,49,811,8.0,679,-132,254,NMD-insensitive
ENSMUST00000115340,1,-,1179,7,6,1,751,7.0,620,-131,250,NMD-insensitive
ENSMUST00000115344,1,-,960,9,8,49,928,9.0,795,-133,293,NMD-insensitive
ENSMUST00000097818,1,-,258,2,1,0,255,2.0,69,-186,85,NMD-insensitive
ENSMUST00000088463,1,-,467,2,1,58,244,2.0,112,-132,62,NMD-insensitive
ENSMUST00000097817,1,-,198,2,1,0,195,2.0,54,-141,65,NMD-insensitive
ENSMUST00000037294,1,+,1761,8,7,234,1590,8.0,1366,-224,452,NMD-insensitive
ENSMUST00000027059,1,+,5863,7,6,250,268,1.0,1330,1062,6,NMD-sensitive
ENSMUST00000187754,1,+,3023,8,7,204,222,1.0,1540,1318,6,NMD-sensitive
ENSMUST00000064976,1,+,1946,7,6,343,1666,7.0,1365,-301,441,NMD-insensitive
ENSMUST00000088448,1,-,12935,67,66,236,12413,67.0,11937,-476,4059,NMD-insensitive
ENSMUST00000027061,1,+,1171,3,2,57,531,3.0,294,-237,158,NMD-insensitive
ENSMUST00000039046,1,-,1178,3,2,71,554,3.0,317,-237,161,NMD-insensitive
ENSMUST00000053266,1,-,3031,17,16,104,2540,17.0,2328,-212,812,NMD-insensitive
ENSMUST00000189400,1,+,5330,3,2,303,1365,3.0,259,-1106,354,NMD-insensitive
ENSMUST00000068880,1,+,4704,3,2,272,1334,3.0,228,-1106,354,NMD-insensitive
ENSMUST00000167119,1,+,1472,4,3,346,1408,4.0,301,-1107,354,NMD-insensitive
ENSMUST00000187651,1,+,1463,3,2,330,1392,3.0,286,-1106,354,NMD-insensitive
ENSMUST00000038447,1,+,2146,11,10,46,1990,11.0,1911,-79,648,NMD-insensitive
ENSMUST00000037998,1,-,6492,11,10,116,1226,11.0,1145,-81,370,NMD-insensitive
ENSMUST00000027065,1,+,1168,5,4,331,628,5.0,587,-41,99,NMD-insensitive
ENSMUST00000027064,1,+,1261,5,4,244,679,5.0,500,-179,145,NMD-insensitive
ENSMUST00000027067,1,+,1457,7,6,92,755,7.0,632,-123,221,NMD-insensitive
ENSMUST00000121676,1,+,894,8,7,169,832,8.0,708,-124,221,NMD-insensitive
ENSMUST00000124990,1,+,742,8,7,331,340,5.0,731,391,3,NMD-sensitive
ENSMUST00000088407,1,+,1987,3,2,379,877,3.0,660,-217,166,NMD-insensitive
ENSMUST00000070223,1,+,1946,3,2,327,825,3.0,608,-217,166,NMD-insensitive
ENSMUST00000147615,1,+,2236,3,2,381,759,3.0,662,-97,126,NMD-insensitive
ENSMUST00000029667,1,-,6562,14,13,0,2799,14.0,1826,-973,933,NMD-insensitive
ENSMUST00000115300,1,-,6975,15,14,356,413,1.0,2243,1830,19,NMD-sensitive
ENSMUST00000173058,1,-,2472,12,11,0,2469,,1498,-971,823,NMD-insensitive
ENSMUST00000174183,1,-,2648,12,11,0,516,3.0,1674,1158,172,NMD-sensitive
ENSMUST00000173404,1,-,2775,13,12,0,2772,,1800,-972,924,NMD-insensitive
ENSMUST00000081544,1,-,5954,32,31,0,3780,32.0,3533,-247,1260,NMD-insensitive
ENSMUST00000115273,1,-,6107,34,33,0,3933,34.0,3684,-249,1311,NMD-insensitive
ENSMUST00000097811,1,-,6446,37,36,0,4272,37.0,4020,-252,1424,NMD-insensitive
ENSMUST00000097810,1,-,6362,36,35,0,4188,36.0,3937,-251,1396,NMD-insensitive
ENSMUST00000097809,1,-,6179,35,34,0,4005,35.0,3755,-250,1335,NMD-insensitive
ENSMUST00000164877,1,-,2294,6,5,127,784,6.0,563,-221,219,NMD-insensitive
ENSMUST00000027343,1,-,4844,7,6,124,1516,7.0,813,-703,464,NMD-insensitive
ENSMUST00000144602,1,+,1488,3,2,968,1280,3.0,966,-314,104,NMD-insensitive
ENSMUST00000063663,1,+,5655,4,3,709,1681,4.0,1594,-87,324,NMD-insensitive
ENSMUST00000140583,1,+,1737,2,1,624,1530,2.0,1217,-313,302,NMD-insensitive
ENSMUST00000027339,1,-,2289,10,9,162,1482,10.0,1341,-141,440,NMD-insensitive
ENSMUST00000129254,1,-,1365,10,9,164,1229,10.0,1088,-141,355,NMD-insensitive
ENSMUST00000027338,1,-,683,3,2,56,368,3.0,259,-109,104,NMD-insensitive
ENSMUST00000188712,1,-,5122,21,20,46,487,7.0,3697,3210,147,NMD-sensitive
ENSMUST00000187752,1,-,5194,21,20,265,4144,21.0,3921,-223,1293,NMD-insensitive
ENSMUST00000187369,1,-,4976,22,21,342,4272,22.0,4048,-224,1310,NMD-insensitive
ENSMUST00000027337,1,-,5536,21,20,404,4922,21.0,4699,-223,1506,NMD-insensitive
ENSMUST00000054588,1,+,3834,38,37,245,3008,38.0,2789,-219,921,NMD-insensitive
ENSMUST00000088349,1,+,3059,32,31,193,2233,32.0,2020,-213,680,NMD-insensitive
ENSMUST00000115244,1,-,4266,51,50,159,3567,51.0,3392,-175,1136,NMD-insensitive
ENSMUST00000051344,1,-,3336,48,47,98,3305,,3060,-245,1069,NMD-insensitive
ENSMUST00000191471,1,+,4453,16,15,127,1738,16.0,1612,-126,537,NMD-insensitive
ENSMUST00000186096,1,+,688,6,5,97,580,6.0,556,-24,161,NMD-insensitive
ENSMUST00000095062,1,+,5228,16,15,259,1660,16.0,1534,-126,467,NMD-insensitive
ENSMUST00000126626,1,-,2953,16,15,302,2258,16.0,2057,-201,652,NMD-insensitive
ENSMUST00000135518,1,-,5432,32,31,235,241,3.0,4594,4353,2,NMD-sensitive
ENSMUST00000151309,1,-,5448,31,30,261,4827,31.0,4611,-216,1522,NMD-insensitive
ENSMUST00000041838,1,-,5059,30,29,0,4566,30.0,4351,-215,1522,NMD-insensitive
ENSMUST00000097801,1,-,4318,2,1,34,4177,2.0,219,-3958,1381,NMD-insensitive
ENSMUST00000059937,1,-,2887,2,1,54,2742,2.0,218,-2524,896,NMD-insensitive
ENSMUST00000186733,1,-,7567,16,15,29,6104,16.0,3948,-2156,2025,NMD-insensitive
ENSMUST00000088310,1,-,7561,15,14,26,6101,15.0,3946,-2155,2025,NMD-insensitive
ENSMUST00000191064,1,-,1309,7,6,252,714,4.0,1291,577,154,NMD-sensitive
ENSMUST00000232841,1,-,4236,6,5,810,1329,6.0,1209,-120,173,NMD-insensitive
ENSMUST00000233506,1,-,4145,6,5,183,315,2.0,1118,803,44,NMD-sensitive
ENSMUST00000027232,1,-,4129,6,5,704,1223,6.0,1103,-120,173,NMD-insensitive
ENSMUST00000076587,1,-,2851,6,5,170,299,2.0,1102,803,43,NMD-sensitive
ENSMUST00000233331,1,-,1765,5,4,698,1421,5.0,664,-757,241,NMD-insensitive
ENSMUST00000152491,1,-,1163,2,1,121,844,2.0,85,-759,241,NMD-insensitive
ENSMUST00000187892,1,-,1717,6,5,675,1398,6.0,635,-763,241,NMD-insensitive
ENSMUST00000062560,1,+,1937,5,4,50,1739,5.0,538,-1201,563,NMD-insensitive
ENSMUST00000027226,1,+,2281,9,8,204,1251,9.0,1148,-103,349,NMD-insensitive
ENSMUST00000189878,1,+,3259,2,1,189,462,2.0,279,-183,91,NMD-insensitive
ENSMUST00000188257,1,+,5278,3,2,170,749,3.0,387,-362,193,NMD-insensitive
ENSMUST00000185666,1,+,543,3,2,31,307,3.0,248,-59,92,NMD-insensitive
ENSMUST00000027312,1,-,1975,14,13,181,1696,14.0,1467,-229,505,NMD-insensitive
ENSMUST00000088287,1,+,4322,8,7,436,1147,8.0,1003,-144,237,NMD-insensitive
ENSMUST00000138024,1,+,4398,8,7,422,614,3.0,1086,472,64,NMD-sensitive
ENSMUST00000115174,1,+,4218,8,7,335,1046,8.0,902,-144,237,NMD-insensitive
ENSMUST00000044691,1,-,1860,3,2,104,734,3.0,325,-409,210,NMD-insensitive
ENSMUST00000187602,1,-,378,2,1,50,221,2.0,162,-59,57,NMD-insensitive
ENSMUST00000139143,1,-,3578,13,12,27,306,4.0,2901,2595,93,NMD-sensitive
ENSMUST00000019861,1,-,3958,15,14,169,3337,15.0,3279,-58,1056,NMD-insensitive
ENSMUST00000044455,1,-,11876,4,3,212,1889,4.0,395,-1494,559,NMD-insensitive
ENSMUST00000115161,1,-,2231,6,5,269,926,6.0,910,-16,219,NMD-insensitive
ENSMUST00000129464,1,-,1750,3,2,314,440,3.0,432,-8,42,NMD-insensitive
ENSMUST00000062289,1,-,2487,7,6,339,1182,7.0,1165,-17,281,NMD-insensitive
ENSMUST00000183034,1,+,23201,103,102,47,23198,,22836,-362,7717,NMD-insensitive
ENSMUST00000182697,1,+,2704,7,6,124,946,7.0,652,-294,274,NMD-insensitive
ENSMUST00000182314,1,+,2643,6,5,38,884,6.0,591,-293,282,NMD-insensitive
ENSMUST00000097786,1,+,17212,93,92,12,16149,93.0,15797,-352,5379,NMD-insensitive
ENSMUST00000097785,1,+,23251,98,97,0,22179,98.0,21822,-357,7393,NMD-insensitive
ENSMUST00000115104,1,+,23279,98,97,0,22218,98.0,21861,-357,7406,NMD-insensitive
ENSMUST00000183302,1,+,8788,24,23,0,7917,24.0,5995,-1922,2639,NMD-insensitive
ENSMUST00000185269,1,+,16340,84,83,0,15525,84.0,15182,-343,5175,NMD-insensitive
ENSMUST00000042493,1,-,1705,5,4,334,874,5.0,760,-114,180,NMD-insensitive
ENSMUST00000027303,1,+,5836,9,8,74,947,9.0,829,-118,291,NMD-insensitive
ENSMUST00000137794,1,+,658,6,5,20,311,3.0,565,254,97,NMD-sensitive
ENSMUST00000149962,1,+,997,8,7,20,311,3.0,960,649,97,NMD-sensitive
ENSMUST00000027302,1,+,1559,15,14,59,1418,15.0,1339,-79,453,NMD-insensitive
ENSMUST00000188972,1,+,414,3,2,77,332,3.0,322,-10,85,NMD-insensitive
ENSMUST00000027299,1,+,1267,5,4,42,300,2.0,823,523,86,NMD-sensitive
ENSMUST00000191604,1,+,554,4,3,31,289,2.0,434,145,86,NMD-sensitive
ENSMUST00000027298,1,+,1040,6,5,255,861,6.0,746,-115,202,NMD-insensitive
ENSMUST00000115071,1,-,1629,5,4,34,112,1.0,847,735,26,NMD-sensitive
ENSMUST00000047840,1,-,1275,5,4,11,89,1.0,795,706,26,NMD-sensitive
ENSMUST00000052670,1,+,4392,2,1,129,2469,2.0,109,-2360,780,NMD-insensitive
ENSMUST00000159747,1,+,6514,14,13,36,5601,14.0,5439,-162,1855,NMD-insensitive
ENSMUST00000047664,1,+,3287,10,9,344,398,2.0,1646,1248,18,NMD-sensitive
ENSMUST00000160855,1,+,2339,6,5,307,361,2.0,1064,703,18,NMD-sensitive
ENSMUST00000167518,1,-,5058,8,7,234,852,7.0,865,13,206,NMD-insensitive
ENSMUST00000047534,1,-,5030,7,6,249,831,6.0,845,14,194,NMD-insensitive
ENSMUST00000170092,1,-,941,7,6,148,751,6.0,765,14,201,NMD-insensitive
ENSMUST00000185469,1,-,778,7,6,169,379,4.0,719,340,70,NMD-sensitive
ENSMUST00000191307,1,-,844,7,6,218,836,7.0,720,-116,206,NMD-insensitive
ENSMUST00000156687,1,+,5176,7,6,96,708,7.0,513,-195,204,NMD-insensitive
ENSMUST00000027297,1,+,3279,8,7,80,743,8.0,602,-141,221,NMD-insensitive
ENSMUST00000088174,1,+,3719,2,1,248,293,1.0,784,491,15,NMD-sensitive
ENSMUST00000046875,1,-,9033,41,40,178,4831,41.0,4768,-63,1551,NMD-insensitive
ENSMUST00000174266,1,-,5399,40,39,34,829,8.0,4594,3765,265,NMD-sensitive
ENSMUST00000056946,1,-,2598,4,3,70,832,4.0,638,-194,254,NMD-insensitive
ENSMUST00000188666,1,-,1206,4,3,337,922,4.0,362,-560,195,NMD-insensitive
ENSMUST00000097778,1,+,2270,8,7,79,91,2.0,728,637,4,NMD-sensitive
ENSMUST00000116629,1,+,2056,6,5,79,256,4.0,514,258,59,NMD-sensitive
ENSMUST00000115031,1,+,3002,6,5,79,2131,6.0,917,-1214,684,NMD-insensitive
ENSMUST00000115032,1,+,4640,7,6,79,1849,7.0,634,-1215,590,NMD-insensitive
ENSMUST00000137906,1,+,5504,5,4,79,1675,5.0,462,-1213,532,NMD-insensitive
ENSMUST00000115029,1,+,4329,4,3,248,1541,4.0,329,-1212,431,NMD-insensitive
ENSMUST00000185912,1,-,4527,21,20,289,2623,21.0,2585,-38,778,NMD-insensitive
ENSMUST00000010597,1,-,4663,21,20,128,2759,21.0,2721,-38,877,NMD-insensitive
ENSMUST00000186470,1,-,2801,21,20,31,2740,21.0,2702,-38,903,NMD-insensitive
ENSMUST00000188961,1,-,2907,22,21,118,334,2.0,2807,2473,72,NMD-sensitive
ENSMUST00000188528,1,-,763,5,4,58,310,2.0,697,387,84,NMD-sensitive
ENSMUST00000185621,1,-,609,5,4,102,330,3.0,508,178,76,NMD-sensitive
ENSMUST00000187628,1,-,336,2,1,58,328,2.0,272,-56,90,NMD-insensitive
